Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor m2;Tipo Agregado
Apartamento;Copacabana;4;3;1;243;13000.0;2000.0;803.0;53.5;Apartamento
Apartamento;Copacabana;3;1;2;378;10000.0;2150.0;700.0;26.46;Apartamento
Apartamento;Península;4;3;4;267;18000.0;3100.0;400.0;67.42;Apartamento
Casa;São Conrado;4;2;4;730;28000.0;2000.0;12000.0;38.36;Casa
Apartamento;Barra da Tijuca;4;4;4;240;12700.0;4400.0;1440.0;52.92;Apartamento
Apartamento;Lagoa;3;1;2;250;13900.0;2500.0;0.0;55.6;Apartamento
Apartamento;Ipanema;3;1;1;150;25000.0;1616.0;4255.0;166.67;Apartamento
Apartamento;Ipanema;2;0;2;52;10000.0;3689.0;393.0;192.31;Apartamento
Apartamento;Leblon;4;4;4;380;40000.0;4700.0;1500.0;105.26;Apartamento
Apartamento;Ipanema;4;6;1;700;65000.0;8860.0;5699.0;92.86;Apartamento
Apartamento;Copacabana;3;1;1;500;15000.0;2580.0;366.0;30.0;Apartamento
Apartamento;Ipanema;3;3;1;220;22000.0;4000.0;1200.0;100.0;Apartamento
Apartamento;Barra da Tijuca;4;4;4;392;30000.0;7000.0;3000.0;76.53;Apartamento
Apartamento;Ipanema;3;2;1;200;15000.0;1500.0;572.0;75.0;Apartamento
Apartamento;Copacabana;4;1;2;210;13000.0;2200.0;650.0;61.9;Apartamento
Apartamento;São Conrado;4;4;4;510;25000.0;6600.0;0.0;49.02;Apartamento
Apartamento;Leblon;4;2;2;250;17500.0;4990.0;620.0;70.0;Apartamento
Apartamento;Copacabana;4;2;2;436;17000.0;3900.0;1000.0;38.99;Apartamento
Apartamento;Ipanema;4;1;1;170;12000.0;1210.0;4222.0;70.59;Apartamento
Apartamento;Leblon;4;2;2;200;11000.0;2900.0;580.0;55.0;Apartamento
Apartamento;Ipanema;4;1;2;250;12000.0;2300.0;1050.0;48.0;Apartamento
Apartamento;Laranjeiras;5;3;2;713;30000.0;3800.0;0.0;42.08;Apartamento
Apartamento;São Conrado;5;2;3;400;13000.0;4165.0;689.0;32.5;Apartamento
Apartamento;Ipanema;4;3;3;433;37000.0;9800.0;0.0;85.45;Apartamento
Apartamento;Copacabana;4;2;2;240;10000.0;2000.0;700.0;41.67;Apartamento
Apartamento;Barra da Tijuca;3;2;2;137;12500.0;1850.0;271.0;91.24;Apartamento
Apartamento;São Conrado;4;3;4;600;23000.0;16864.0;3910.0;38.33;Apartamento
Apartamento;Leblon;4;3;4;260;13500.0;3100.0;0.0;51.92;Apartamento
Apartamento;Lagoa;4;3;1;180;11000.0;2530.0;812.0;61.11;Apartamento
Apartamento;Leblon;4;2;2;207;15500.0;6000.0;934.0;74.88;Apartamento
Apartamento;Barra da Tijuca;4;4;4;518;38000.0;5004.0;1747.0;73.36;Apartamento
Apartamento;Barra da Tijuca;4;3;4;304;13000.0;3800.0;1350.0;42.76;Apartamento
Casa;São Conrado;4;0;4;1200;25000.0;0.0;0.0;20.83;Casa
Apartamento;Ipanema;4;1;3;250;12000.0;2300.0;1037.0;48.0;Apartamento
Apartamento;Ipanema;4;3;4;480;39000.0;9400.0;0.0;81.25;Apartamento
Apartamento;Flamengo;4;2;2;423;12000.0;3795.0;1253.0;28.37;Apartamento
Apartamento;Barra da Tijuca;3;2;2;480;15000.0;2750.0;650.0;31.25;Apartamento
Quitinete;Copacabana;1;0;0;30;2600.0;500.0;0.0;86.67;Apartamento
Quitinete;Copacabana;1;0;0;30;3200.0;400.0;50.0;106.67;Apartamento
Apartamento;Lagoa;3;3;1;250;11000.0;3500.0;889.0;44.0;Apartamento
Apartamento;Leblon;4;3;4;300;30000.0;4273.0;1557.0;100.0;Apartamento
Apartamento;Leblon;4;2;2;205;15000.0;6000.0;772.0;73.17;Apartamento
Apartamento;Barra da Tijuca;4;4;4;330;20000.0;1800.0;10500.0;60.61;Apartamento
Apartamento;Ipanema;3;3;3;310;16000.0;3000.0;1100.0;51.61;Apartamento
Apartamento;Leblon;4;2;2;300;28000.0;3480.0;0.0;93.33;Apartamento
Apartamento;Leblon;4;2;1;200;11500.0;3055.0;500.0;57.5;Apartamento
Casa;Barra da Tijuca;6;4;6;540;25000.0;2333.0;2900.0;46.3;Casa
Apartamento;Barra da Tijuca;4;3;4;292;16000.0;5000.0;1500.0;54.79;Apartamento
Apartamento;Leblon;4;2;2;240;17900.0;5000.0;1000.0;74.58;Apartamento
Apartamento;Laranjeiras;4;2;1;350;10000.0;3000.0;403.0;28.57;Apartamento
Apartamento;Urca;3;1;1;220;16000.0;2757.0;544.0;72.73;Apartamento
Casa;Jardim Botânico;4;2;4;387;25000.0;270.0;6661.0;64.6;Casa
Apartamento;Copacabana;4;1;2;270;13500.0;2800.0;0.0;50.0;Apartamento
Apartamento;Leme;4;0;1;350;10000.0;2700.0;6500.0;28.57;Apartamento
Apartamento;Barra da Tijuca;4;3;2;398;16000.0;2600.0;11000.0;40.2;Apartamento
Apartamento;Barra da Tijuca;2;1;2;100;10000.0;5155.0;502.0;100.0;Apartamento
Apartamento;Barra da Tijuca;4;3;4;245;11000.0;3000.0;544.0;44.9;Apartamento
Apartamento;São Conrado;4;4;2;460;10000.0;5600.0;500.0;21.74;Apartamento
Apartamento;Flamengo;4;0;1;648;18000.0;3540.0;2187.0;27.78;Apartamento
Apartamento;Ipanema;3;3;2;270;16000.0;3100.0;7813.0;59.26;Apartamento
Apartamento;Leblon;3;2;2;262;20000.0;2579.0;1351.0;76.34;Apartamento
Apartamento;Ipanema;3;2;1;160;10000.0;1800.0;764.0;62.5;Apartamento
Apartamento;Barra da Tijuca;4;4;4;279;24000.0;5268.0;1397.0;86.02;Apartamento
Apartamento;Leblon;3;2;1;170;12000.0;1900.0;280.0;70.59;Apartamento
Apartamento;Ipanema;5;2;2;380;12000.0;3800.0;1600.0;31.58;Apartamento
Apartamento;São Conrado;4;4;4;400;15000.0;5934.0;3182.0;37.5;Apartamento
Apartamento;Barra da Tijuca;4;3;4;333;12000.0;4400.0;1200.0;36.04;Apartamento
Apartamento;São Conrado;5;2;3;401;12900.0;3781.0;7300.0;32.17;Apartamento
Apartamento;Copacabana;4;2;1;365;13000.0;2800.0;1491.0;35.62;Apartamento
Apartamento;Flamengo;4;1;2;360;12000.0;2500.0;650.0;33.33;Apartamento
Apartamento;Ipanema;4;3;3;450;35000.0;5000.0;0.0;77.78;Apartamento
Apartamento;Barra da Tijuca;2;2;2;150;10000.0;3500.0;4000.0;66.67;Apartamento
Apartamento;Ipanema;5;1;4;424;25000.0;3200.0;4624.0;58.96;Apartamento
Apartamento;Lagoa;4;3;4;250;14000.0;4330.0;1200.0;56.0;Apartamento
Apartamento;Ipanema;4;3;3;480;37000.0;9700.0;2166.0;77.08;Apartamento
Apartamento;Ipanema;3;1;1;250;10000.0;2400.0;1000.0;40.0;Apartamento
Casa de Vila;Botafogo;4;2;1;210;8000.0;378.0;270.0;38.1;Casa
Apartamento;Copacabana;4;2;3;550;20000.0;4000.0;10000.0;36.36;Apartamento
Apartamento;Leblon;3;3;1;209;11000.0;1817.0;0.0;52.63;Apartamento
Apartamento;Leblon;3;4;1;176;17000.0;3582.0;400.0;96.59;Apartamento
Apartamento;Barra da Tijuca;2;3;2;220;12000.0;4200.0;1000.0;54.55;Apartamento
Apartamento;Ipanema;4;0;4;370;24000.0;4000.0;1809.0;64.86;Apartamento
Apartamento;Ipanema;3;1;3;172;12000.0;1450.0;6443.0;69.77;Apartamento
Apartamento;Leblon;4;2;2;140;13000.0;2500.0;700.0;92.86;Apartamento
